SAMPFACTOR	Row	Col	Core ID	H-Score	SAMPID	Histology	InStudy
CHLA-258	5	17	14231	17.30292	CHLA-258 p64	Ewing sarcoma	In_Study
CHLA-258	5	14	14228	3.276	CHLA-258 p53	Ewing sarcoma	In_Study
CHLA-258	5	15	14229	12.22866	CHLA-258 p53	Ewing sarcoma	In_Study
CHLA-258	5	16	14230	10.37208	CHLA-258 p64	Ewing sarcoma	In_Study
ES-4	5	1	14215	7.172	ES-4 p17/31	Ewing sarcoma	In_Study
ES-4	5	2	14216	33.532	ES-4 p17/31	Ewing sarcoma	In_Study
ES-4	5	3	14217	13.25965	ES-4 p17/32	Ewing sarcoma	In_Study
ES-4	5	4	14218	38.98	ES-4 p17/32	Ewing sarcoma	In_Study
NCH-EWS-1	6	17	14248	12.8312	NCH-EWS-1 p22	Ewing sarcoma	In_Study
NCH-EWS-1	6	14	14245	16.744	NCH-EWS-1 p21	Ewing sarcoma	In_Study
NCH-EWS-1	6	15	14246	11.4404	NCH-EWS-1 p21	Ewing sarcoma	In_Study
NCH-EWS-1	6	16	14247	70.014	NCH-EWS-1 p22	Ewing sarcoma	In_Study
TC-71	6	13	14244	19.959	TC-71 p40/47	Ewing sarcoma	In_Study
TC-71	6	10	14241	21.2752	TC-71 p40/46	Ewing sarcoma	In_Study
TC-71	6	11	14242	82.064	TC-71 p40/46	Ewing sarcoma	In_Study
TC-71	6	12	14243	73.646	TC-71 p40/47	Ewing sarcoma	In_Study
KT-12	1	14	14160	66.296	KT-12 p7	Extracranial Rhabdoid	In_Study
KT-12	1	15	14161	30.81	KT-12 p7	Extracranial Rhabdoid	In_Study
KT-12	1	16	14162	63.236	KT-12 p9	Extracranial Rhabdoid	In_Study
KT-12	1	17	14163	47.058	KT-12 p9	Extracranial Rhabdoid	In_Study
EW-5	6	1	14232	67.398	EW-5 p35	Ewing sarcoma	In_Study
EW-5	6	2	14233	74.702	EW-5 p35	Ewing sarcoma	In_Study
EW-5	6	3	14234	20.4888	EW-5 p37	Ewing sarcoma	In_Study
EW-5	6	4	14235	47.09687	EW-5 p37	Ewing sarcoma	In_Study
Rh-36	8	1	14266	56.738	RH36 p26	Fusion- RMS	In_Study
Rh-36	8	2	14267	85.188	RH36 p26	Fusion- RMS	In_Study
Rh-36	8	3	14268	43.03195	RH36 p30	Fusion- RMS	In_Study
Rh-36	8	4	14269	37.6658	RH36 p30	Fusion- RMS	In_Study
ES-6	5	5	14219	97.97	ES-6 p40/26	Ewing sarcoma	In_Study
ES-6	5	6	14220	54.296	ES-6 p40/26	Ewing sarcoma	In_Study
ES-6	5	7	14221	21.31769	ES-6 p40/29	Ewing sarcoma	In_Study
ES-6	5	8	14222	73.486	ES-6 p40/29	Ewing sarcoma	In_Study
S-12-6321	9	1	14283	17.62306	S12-6321 p5	PXA	Not_In_Study
S-12-6321	9	2	14284	121.64	S12-6321 p5	PXA	Not_In_Study
S-12-6321	9	3	14285	54.384	S12-6321 p7	PXA	Not_In_Study
S-12-6321	9	4	14286	107.55	S12-6321 p7	PXA	Not_In_Study
ES-2	4	13	14210	129.52	ES-2 p14/17	Ewing sarcoma	Not_In_Study
ES-2	4	10	14207	25.2692	ES-2 p14/16	Ewing sarcoma	Not_In_Study
ES-2	4	11	14208	55.7036	ES-2 p14/16	Ewing sarcoma	Not_In_Study
ES-2	4	12	14209	97.252	ES-2 p14/17	Ewing sarcoma	Not_In_Study
ES-1	4	5	14202	97.2	ES-1 p9/13	Ewing sarcoma	In_Study
ES-1	4	6	14203	40.798	ES-1 p9/13	Ewing sarcoma	In_Study
ES-1	4	7	14204	102.214	ES-1 p9/14	Ewing sarcoma	In_Study
ES-1	4	8	14205	96.696	ES-1 p9/14	Ewing sarcoma	In_Study
Rh-10	7	1	14249	75.504	RH10 p49	Fusion+ RMS	In_Study
Rh-10	7	2	14250	68.24	RH10 p49	Fusion+ RMS	In_Study
Rh-10	7	3	14251	99.5268	RH10 p50	Fusion+ RMS	In_Study
Rh-10	7	4	14252	95.97153	RH10 p50	Fusion+ RMS	In_Study
KT-16	2	13	14176	112.52	KT-16 p49	Extracranial Rhabdoid	Not_In_Study
KT-16	2	10	14173	116.06	KT-16 p47	Extracranial Rhabdoid	Not_In_Study
KT-16	2	11	14174	29.883	KT-16 p47	Extracranial Rhabdoid	Not_In_Study
KT-16	2	12	14175	97.43	KT-16 p49	Extracranial Rhabdoid	Not_In_Study
ES-3	4	17	14214	102.678	ES-3 p17/23	Ewing sarcoma	Not_In_Study
ES-3	4	14	14211	111.11	ES-3 p17/20	Ewing sarcoma	Not_In_Study
ES-3	4	15	14212	77.066	ES-3 p17/20	Ewing sarcoma	Not_In_Study
ES-3	4	16	14213	89.824	ES-3 p17/23	Ewing sarcoma	Not_In_Study
SK-NEP-1	3	17	14197	107.49	SK-NEP-1 p14	Ewing sarcoma	In_Study
SK-NEP-1	3	14	14194	109.9	SK-NEP-1 p11	Ewing sarcoma	In_Study
SK-NEP-1	3	15	14195	101.92	SK-NEP-1 p11	Ewing sarcoma	In_Study
