Row	Col	Core.ID	H.Score	SAMPID	SAMPFACTOR	Histology	InStudy
1	10	13934	194.63	COG-N-424x A	COG-N-424x	Neuroblastoma	Not_In_Study
1	11	13935	213.91	COG-N-424x A	COG-N-424x	Neuroblastoma	Not_In_Study
1	12	13936	243.49	COG-N-424x B	COG-N-424x	Neuroblastoma	Not_In_Study
1	13	13937	236.01	COG-N-424x B	COG-N-424x	Neuroblastoma	Not_In_Study
1	14	13938	238.23	FELIX-PDX A	COG-N-426x-Felix-PDX	Neuroblastoma	In_Study
1	15	13939	206.99	FELIX-PDX A	COG-N-426x-Felix-PDX	Neuroblastoma	In_Study
1	16	13940	221.85	FELIX-PDX B	COG-N-426x-Felix-PDX	Neuroblastoma	In_Study
1	17	13941	208.66	FELIX-PDX B	COG-N-426x-Felix-PDX	Neuroblastoma	In_Study
1	2	13926	189.86	CHLA-79 A	CHLA-79	Neuroblastoma	Not_In_Study
1	3	13927	173.35	CHLA-79 A	CHLA-79	Neuroblastoma	Not_In_Study
1	4	13928	179.434	CHLA-79 B	CHLA-79	Neuroblastoma	Not_In_Study
1	5	13929	181.289	CHLA-79 B	CHLA-79	Neuroblastoma	Not_In_Study
1	6	13930	190.19	COG-N-415x A	COG-N-415x	Neuroblastoma	In_Study
1	7	13931	224.94	COG-N-415x A	COG-N-415x	Neuroblastoma	In_Study
1	8	13932	206.39	COG-N-415x B	COG-N-415x	Neuroblastoma	In_Study
1	9	13933	171.578	COG-N-415x B	COG-N-415x	Neuroblastoma	In_Study
2	1	13942	183.438	COG-N-440x A	COG-N-440x	Neuroblastoma	Not_In_Study
2	10	13951	219.26	COG-N-453x A	COG-N-453x	Neuroblastoma	In_Study
2	11	13952	230.34	COG-N-453x A	COG-N-453x	Neuroblastoma	In_Study
2	12	13953	207.19	COG-N-453x B	COG-N-453x	Neuroblastoma	In_Study
2	13	13954	192.34	COG-N-453x B	COG-N-453x	Neuroblastoma	In_Study
2	14	13955	235.55	COG-N-471x A	COG-N-471x	Neuroblastoma	Not_In_Study
2	15	13956	236.64	COG-N-471x	COG-N-471x	Neuroblastoma	Not_In_Study
2	16	13957	249.82	COG-N-471x B	COG-N-471x	Neuroblastoma	Not_In_Study
2	17	13958	255.89	COG-N-471x B	COG-N-471x	Neuroblastoma	Not_In_Study
2	2	13943	191.18	COG-N-440x A	COG-N-440x	Neuroblastoma	Not_In_Study
2	3	13944	177.4197	COG-N-440x B	COG-N-440x	Neuroblastoma	Not_In_Study
2	4	13945	176.331	COG-N-440x B	COG-N-440x	Neuroblastoma	Not_In_Study
2	5	13946	196.82	COG-N-452x A	COG-N-452x	Neuroblastoma	In_Study
2	6	13947	197.55	COG-N-452x A	COG-N-452x	Neuroblastoma	In_Study
2	7	13948	212.45	COG-N-452x B	COG-N-452x	Neuroblastoma	In_Study
2	8	13949	234.58	COG-N-452x B	COG-N-452x	Neuroblastoma	In_Study
3	1	13959	204.11	COG-N-496x A	COG-N-496x	Neuroblastoma	In_Study
3	10	13968	233.83	COG-N-557x A	COG-N-557x	Neuroblastoma	Not_In_Study
3	11	13969	196	COG-N-557x A	COG-N-557x	Neuroblastoma	Not_In_Study
3	12	13970	214.42	COG-N-557x B	COG-N-557x	Neuroblastoma	Not_In_Study
3	13	13971	229.83	COG-N-557x B	COG-N-557x	Neuroblastoma	Not_In_Study
3	14	13972	200.07	COG-N-618x A	COG-N-618x	Neuroblastoma	Not_In_Study
3	15	13973	178.254	COG-N-618x A	COG-N-618x	Neuroblastoma	Not_In_Study
3	16	13974	177.9	COG-N-618x B	COG-N-618x	Neuroblastoma	Not_In_Study
3	17	13975	178.029	COG-N-618x B	COG-N-618x	Neuroblastoma	Not_In_Study
3	2	13960	203.7	COG-N-496x A	COG-N-496x	Neuroblastoma	In_Study
3	3	13961	220.87	COG-N-496x B	COG-N-496x	Neuroblastoma	In_Study
3	4	13962	239.46	COG-N-496x B	COG-N-496x	Neuroblastoma	In_Study
3	5	13963	176.241	COG-N-519x A	COG-N-519x	Neuroblastoma	In_Study
3	6	13964	179.249	COG-N-519x A	COG-N-519x	Neuroblastoma	In_Study
3	7	13965	153.7848	COG-N-519x B	COG-N-519x	Neuroblastoma	In_Study
3	8	13966	159.86	COG-N-519x B	COG-N-519x	Neuroblastoma	In_Study
4	1	13976	161.09	COG-N-619x A	COG-N-619x	Neuroblastoma	Not_In_Study
4	10	13985	224.25	NB-1643 A	NB-1643	Neuroblastoma	In_Study
