SAMPID	Histology	minRTV	percent_minRTV	Histology.Short
NB-1691	Neuroblastoma	2.174616752	117.46	Neuroblastoma
NB-1691	Neuroblastoma	1.488096326	48.81	Neuroblastoma
OS-9	Osteosarcoma	0.636320179	-36.37	Osteosarcoma
OS-9	Osteosarcoma	0.586550733	-41.34	Osteosarcoma
OS-9	Osteosarcoma	0.528714542	-47.13	Osteosarcoma
OS-9	Osteosarcoma	0.518579916	-48.14	Osteosarcoma
OS-9	Osteosarcoma	0.50859836	-49.14	Osteosarcoma
OS-9	Osteosarcoma	0.477428241	-52.26	Osteosarcoma
OS-9	Osteosarcoma	0.459442837	-54.06	Osteosarcoma
OS-9	Osteosarcoma	0.374777513	-62.52	Osteosarcoma
OS-31	Osteosarcoma	0.288482296	-71.15	Osteosarcoma
OS-1	Osteosarcoma	0.264589732	-73.54	Osteosarcoma
OS-31	Osteosarcoma	0.261355202	-73.86	Osteosarcoma
OS-1	Osteosarcoma	0.241707348	-75.83	Osteosarcoma
COG-N-496x	Neuroblastoma	0.234970438	-76.5	Neuroblastoma
ES-1	Ewing sarcoma	0.197291155	-80.27	EWS
OS-9	Osteosarcoma	0.181007259	-81.9	Osteosarcoma
OS-1	Osteosarcoma	0.178257562	-82.17	Osteosarcoma
OS-31	Osteosarcoma	0.158711767	-84.13	Osteosarcoma
OS-9	Osteosarcoma	0.15156397	-84.84	Osteosarcoma
NB-SD	Neuroblastoma	0.118001672	-88.2	Neuroblastoma
NB-SD	Neuroblastoma	0.059141398	-94.09	Neuroblastoma
NB-1643	Neuroblastoma	0.052734375	-94.73	Neuroblastoma
COG-N-519x	Neuroblastoma	0.042660447	-95.73	Neuroblastoma
KT-10	Wilms tumor	2.27e-07	-100	WT
KT-11	Wilms tumor	1.64e-07	-100	WT
KT-11	Wilms tumor	1.61e-07	-100	WT
SK-NEP-1	Ewing sarcoma	1.56e-07	-100	EWS
Rh-18	Embryonal RMS	1.56e-07	-100	ERMS
Rh-41	Alveolar RMS	1.53e-07	-100	ARMS
KT-11	Wilms tumor	1.53e-07	-100	WT
Rh-18	Embryonal RMS	1.48e-07	-100	ERMS
Rh-18	Embryonal RMS	1.48e-07	-100	ERMS
KT-10	Wilms tumor	1.42e-07	-100	WT
ES-6	Ewing sarcoma	1.39e-07	-100	EWS
Rh-30	Alveolar RMS	1.36e-07	-100	ARMS
Rh-18	Embryonal RMS	1.35e-07	-100	ERMS
Rh-36	Embryonal RMS	1.31e-07	-100	ERMS
KT-11	Wilms tumor	1.3e-07	-100	WT
KT-10	Wilms tumor	1.29e-07	-100	WT
Rh-41	Alveolar RMS	1.27e-07	-100	ARMS
Rh-41	Alveolar RMS	1.24e-07	-100	ARMS
ES-6	Ewing sarcoma	1.23e-07	-100	EWS
SK-NEP-1	Ewing sarcoma	1.22e-07	-100	EWS
Rh-18	Embryonal RMS	1.2e-07	-100	ERMS
KT-10	Wilms tumor	1.18e-07	-100	WT
KT-11	Wilms tumor	1.18e-07	-100	WT
SK-NEP-1	Ewing sarcoma	1.17e-07	-100	EWS
Rh-18	Embryonal RMS	1.17e-07	-100	ERMS
Rh-36	Embryonal RMS	1.17e-07	-100	ERMS
Rh-30	Alveolar RMS	1.17e-07	-100	ARMS
KT-10	Wilms tumor	1.17e-07	-100	WT
KT-11	Wilms tumor	1.17e-07	-100	WT
ES-6	Ewing sarcoma	1.15e-07	-100	EWS
Rh-30	Alveolar RMS	1.15e-07	-100	ARMS
ES-1	Ewing sarcoma	1.14e-07	-100	EWS
ES-6	Ewing sarcoma	1.14e-07	-100	EWS
SK-NEP-1	Ewing sarcoma	1.14e-07	-100	EWS
ES-1	Ewing sarcoma	1.12e-07	-100	EWS
SK-NEP-1	Ewing sarcoma	1.12e-07	-100	EWS
